,taxon,totalarea,meanarea,convexhull
1,Todiramphus_albicilla_albicilla,222149718.3,111074859.1,434201451.8
2,Todiramphus_albicilla_orii,85793771.78,85793771.78,109381928.3
3,Todiramphus_albicilla_owstoni,158881272.2,17653474.69,17639530573
4,Todiramphus_albonotatus,35452724610,2727132662,64116642576
5,Todiramphus_australasia_australasia,15931985291,1448362299,59346045666
6,Todiramphus_australasia_dammerianus,34795983382,940431983.3,1.23461E+11
7,Todiramphus_australasia_interpositus,564853802.2,188284600.7,912445954.2
8,Todiramphus_australasia_odites,4441027533,138782110.4,13461981801
9,Todiramphus_australasia_tringorum,176016847.5,176016847.5,220729122.1
10,Todiramphus_chloris_azelus,404730555,404730555,499344444.6
11,Todiramphus_chloris_chloris,4.50275E+11,667073373.9,2.47039E+12
12,Todiramphus_chloris_chloropterus,13365980682,196558539.4,78556146722
13,Todiramphus_chloris_collaris,2.90986E+11,778036493.8,1.01032E+12
14,Todiramphus_chloris_davisoni,5972456389,93319631.07,42835405840
15,Todiramphus_chloris_occipitalis,1465462626,146546262.6,9195418939
16,Todiramphus_chloris_teraokai,448227333.7,34479025.67,1311689188
17,Todiramphus_cinnamominus,543076668.5,543076668.5,845587471.7
18,Todiramphus_colonus,4816611278,84501952.24,68662575009
19,Todiramphus_diops,25455813872,391627905.7,71527382737
20,Todiramphus_enigma,984793189.5,328264396.5,2100518349
21,Todiramphus_farquhari,6285014651,314250732.6,12858603431
22,Todiramphus_funebris,18041281018,3608256204,40789696508
23,Todiramphus_gertrudae,56014893.09,56014893.09,57183313.35
24,Todiramphus_godeffroyi,371759371,185879685.5,770531891.2
25,Todiramphus_lazuli,18344948755,4586237189,33727559308
26,Todiramphus_leucopygius,22915876251,336998180.2,1.02292E+11
27,Todiramphus_pelewensis,448227333.7,34479025.67,1311689188
28,Todiramphus_recurvirostris,2834664690,708666172.6,4664764152
29,Todiramphus_reichenbachii,358704877,71740975.41,653027853.2
30,Todiramphus_ruficollaris,49110033.38,49110033.38,51144323.36
31,Todiramphus_sacer_amoenus,830977006.7,415488503.4,1546068307
32,Todiramphus_sacer_aneityum,159969316.3,159969316.3,171841332.1
33,Todiramphus_sacer_brachyurus,24543667.94,12271833.97,55540305.36
34,Todiramphus_sacer_erromangae,887641433.8,887641433.8,1044074857
35,Todiramphus_sacer_eximius,480502148.7,96100429.75,991388916.9
36,Todiramphus_sacer_juliae,9583647157,383345886.3,42459770113
37,Todiramphus_sacer_mala,4183208460,298800604.3,5962474325
38,Todiramphus_sacer_manuae,59901199.88,19967066.63,186466869.4
39,Todiramphus_sacer_marinus,507650572.8,15864080.4,33919568728
40,Todiramphus_sacer_melanodera,195879515.1,97939757.56,250162206.4
41,Todiramphus_sacer_ornatus,563731100,140932775,1475294378
42,Todiramphus_sacer_pavuvu,173281385.5,86640692.75,275627166.3
43,Todiramphus_sacer_pealei,137933488.8,68966744.39,274465393.3
44,Todiramphus_sacer_regina,67543633.93,33771816.96,104182389.1
45,Todiramphus_sacer_sacer,585991748.7,39066116.58,24857501815
46,Todiramphus_sacer_santoensis,721442052.8,120240342.1,3007253599
47,Todiramphus_sacer_solomonis,3135369267,522561544.4,5032092184
48,Todiramphus_sacer_sororum,8762433.318,4381216.659,20190603.66
49,Todiramphus_sacer_tannensis,10301198.3,10301198.3,15126984.64
50,Todiramphus_sacer_torresianus,113983903.3,22796780.67,295928293.8
51,Todiramphus_sacer_tucopia,4596854.933,4596854.933,6195380.015
52,Todiramphus_sacer_utupuae,72806676.47,72806676.47,94390036.26
53,Todiramphus_sacer_vicina,12796750.32,6398375.159,35401513.14
54,Todiramphus_sacer_vitiensis,17421765975,395949226.7,57298198027
55,Todiramphus_sanctus_canacorum,16591896008,829594800.4,23538720947
56,Todiramphus_sanctus_macmillani,1925820623,385164124.6,8771308001
57,Todiramphus_sanctus_norfolkiensis,36717298.79,36717298.79,44028470.54
58,Todiramphus_sanctus_vagans,1.84518E+11,23064735087,3.09327E+12
59,Todiramphus_saurophagus_admiralitatis,1997000263,665666754.5,4839760070
60,Todiramphus_saurophagus_anachoreta,42190063.53,3835460.321,13695527000
61,Todiramphus_tristrami_alberti,28233517093,209137163.7,1.24616E+11
62,Todiramphus_tristrami_bennetti,36229117.87,12076372.62,164833853.8
63,Todiramphus_tristrami_matthiae,386547557.5,77309511.5,1030565353
64,Todiramphus_tristrami_novaehiberniae,1353895428,451298475.8,4394583886
65,Todiramphus_tristrami_nusae,2021142903,57746940.09,30173584344
66,Todiramphus_tristrami_stresemanni,1366692271,341673067.7,4628577566
67,Todiramphus_tristrami_tristrami,35473034464,1689192117,64368132480
68,Todiramphus_tutus_atiu,28667960.9,28667960.9,29995295.11
69,Todiramphus_tutus_mauke,19143749.16,19143749.16,19513597.27
70,Todiramphus_tutus_tutus,366732190.2,33339290.01,2379144177
71,Todiramphus_veneratus_veneratus,1045540510,1045540510,1328555292
72,Todiramphus_veneratus_youngi,133018931.7,133018931.7,153761252.6
73,Todiramphus_winchelli_alfredi,1815621379,129687241.4,8160011545
74,Todiramphus_winchelli_mindanensis,93858942971,93858942971,1.53727E+11
75,Todiramphus_winchelli_nesydrionetes,1209473437,403157812.4,3547122195
76,Todiramphus_winchelli_nigrorum,42042740075,2627671255,94320494439
77,Todiramphus_winchelli_winchelli,1236263997,1236263997,1481816098
